0	0-0 1-1 2-2 3-3 5-4 6-5
1	0-2 1-0 10-11 11-12 12-13 13-14 14-18 2-3 20-26 21-22 22-23 23-24 24-25 25-27 26-29 27-35 28-36 28-37 3-4 30-6 31-29 32-30 33-31 34-38 35-39 36-40 37-41 38-44 39-46 42-47 46-43 47-48 8-7 9-8
2	0-0 1-1 10-8 11-9 12-10 14-4 15-5 16-6 17-13 18-15 19-18 2-20 20-17 21-19 26-22 27-25 28-26 29-24 3-14 30-27 4-2 5-11 7-12 8-3 9-7
3	0-0 1-2 10-15 10-4 13-16 16-17 17-18 18-20 19-22 2-6 21-21 22-23 23-24 24-25 25-25 26-26 27-19 28-19 29-27 3-7 4-8 5-9 6-10 7-12 8-3 9-14
4	0-0 10-13 12-10 14-14 15-17 16-11 17-12 2-4 20-11 22-18 23-19 25-24 26-25 28-23 29-20 3-1 30-21 31-22 33-26 4-2 5-3 6-5 7-7 8-8 9-9
5	0-0 1-0 10-2 11-7 12-8 13-15 14-9 15-10 16-11 17-13 18-14 2-3 20-16 21-17 22-17 23-18 24-19 25-20 26-15 29-25 3-4 31-30 32-29 33-26 34-27 35-28 37-21 38-22 4-5 40-23 42-24 43-31 6-6 7-1 9-2
6	0-15 1-19 10-13 11-10 11-5 12-11 12-8 13-12 14-3 15-0 16-4 18-1 2-20 20-2 21-24 3-21 4-22 5-23 7-16 8-18 9-14
7	0-14 1-15 1-9 10-18 11-19 12-20 13-21 13-22 14-24 15-25 17-27 18-28 2-11 2-16 21-29 22-36 23-30 24-31 25-32 27-33 28-34 29-35 3-17 30-38 31-40 32-41 33-42 33-43 35-44 36-37 37-47 38-46 38-48 5-0 6-3 7-2 8-4 9-26
8	0-0 1-1 10-14 11-15 12-16 13-17 14-20 15-21 16-22 17-23 18-18 19-19 2-2 20-24 21-25 22-27 23-28 24-26 24-29 26-8 27-10 27-9 28-12 29-30 3-6 30-31 31-32 32-33 33-33 34-17 35-37 36-38 37-34 39-35 40-36 41-40 42-41 43-43 44-44 45-42 45-45 46-46 6-3 7-5 8-7
9	0-6 1-3 10-13 11-11 11-14 12-0 13-1 14-15 2-4 3-5 4-7 5-7 6-8 7-9 8-10 9-12
10	0-9 1-0 10-2 11-3 13-15 14-20 15-17 16-19 17-18 18-19 2-0 20-16 22-11 23-12 24-13 25-14 26-21 27-22 28-24 28-25 29-26 30-27 33-30 34-29 35-28 37-31 38-32 39-33 41-36 42-35 43-34 44-37 45-38 46-40 47-41 5-7 7-5 9-1
11	0-0 1-1 10-11 12-18 13-15 14-16 15-12 17-13 18-14 19-21 2-2 3-3 4-4 5-5 7-6 8-7 9-8
12	0-0 1-1 10-25 11-20 12-22 13-23 14-16 15-17 16-18 17-26 18-28 19-33 2-2 21-32 22-29 23-30 24-31 25-36 26-37 27-38 28-38 29-41 3-3 30-39 34-43 4-4 4-8 5-10 5-9 6-11 7-13 8-14
13	0-0 1-0 10-13 11-14 15-6 16-7 17-8 2-1 20-10 21-10 22-11 23-15 3-2 4-5 5-3 6-4 7-9 8-12
14	0-11 1-12 10-4 12-5 13-6 15-7 17-9 18-10 19-8 2-12 21-1 22-0 27-2 3-13 4-14 45-16 9-15
